user_id,tariff_plan,date_start
168549,B,30/10/2019
168481,B,28/10/2019
168452,B,25/10/2019
168499,B,28/10/2019
167959,B,08/10/2019
168542,B,30/10/2019
168225,B,17/10/2019
167036,B,29/08/2019
168579,B,31/10/2019
168558,B,30/10/2019
168180,B,16/10/2019
168349,B,22/10/2019
168583,B,31/10/2019
167480,B,18/09/2019
168315,B,21/10/2019
166942,B,26/08/2019
167451,B,17/09/2019
168334,B,22/10/2019
168322,B,22/10/2019
168479,B,28/10/2019
168302,B,21/10/2019
168377,B,23/10/2019
168376,B,23/10/2019
168378,B,23/10/2019
167402,B,16/09/2019
168352,B,23/10/2019
168379,B,23/10/2019
168018,B,09/10/2019
166503,B,06/08/2019
168167,B,15/10/2019
167310,B,11/09/2019
168209,B,16/10/2019
167977,B,08/10/2019
168099,B,14/10/2019
168309,B,21/10/2019
168262,B,18/10/2019
167955,B,07/10/2019
168066,B,11/10/2019
168154,B,15/10/2019
168021,B,09/10/2019
167621,B,23/09/2019
167317,B,11/09/2019
167874,B,03/10/2019
168149,B,15/10/2019
168105,B,14/10/2019
168041,B,10/10/2019
167580,B,20/09/2019
167989,B,08/10/2019
167851,B,02/10/2019
168015,B,09/10/2019
167995,B,09/10/2019
167999,B,09/10/2019
167947,B,07/10/2019
167299,B,11/09/2019
167930,B,07/10/2019
166680,B,14/08/2019
167736,B,27/09/2019
167849,B,02/10/2019
167060,B,29/08/2019
167654,B,24/09/2019
167724,B,26/09/2019
167679,B,25/09/2019
167512,B,19/09/2019
166428,B,02/08/2019
167651,B,24/09/2019
167738,B,27/09/2019
167716,B,26/09/2019
167326,B,11/09/2019
167565,B,20/09/2019
166500,B,06/08/2019
166813,B,20/08/2019
167445,B,17/09/2019
167487,B,18/09/2019
166532,B,07/08/2019
168446,B,25/10/2019
167264,B,10/09/2019
166788,B,19/08/2019
167275,B,10/09/2019
167521,B,19/09/2019
167447,B,17/09/2019
167115,B,02/09/2019
167357,B,12/09/2019
167359,B,13/09/2019
167338,B,12/09/2019
167315,B,11/09/2019
167339,B,12/09/2019
167054,B,29/08/2019
167228,B,06/09/2019
167041,B,29/08/2019
167266,B,10/09/2019
167225,B,06/09/2019
166956,B,26/08/2019
167176,B,05/09/2019
167156,B,04/09/2019
167172,B,05/09/2019
167174,B,05/09/2019
166829,B,21/08/2019
167175,B,05/09/2019
167110,B,02/09/2019
166598,B,09/08/2019
166970,B,27/08/2019
167114,B,02/09/2019
167078,B,30/08/2019
167004,B,28/08/2019
167082,B,30/08/2019
167002,B,28/08/2019
167183,B,05/09/2019
167443,B,17/09/2019
167847,B,02/10/2019
167869,B,03/10/2019
167867,B,03/10/2019
166962,B,27/08/2019
166975,B,27/08/2019
166791,B,19/08/2019
166638,B,13/08/2019
166660,B,13/08/2019
166653,B,13/08/2019
166899,B,23/08/2019
166711,B,15/08/2019
166795,B,19/08/2019
166524,B,07/08/2019
166772,B,19/08/2019
166732,B,16/08/2019
166675,B,14/08/2019
166774,B,19/08/2019
166800,B,20/08/2019
166697,B,15/08/2019
166755,B,19/08/2019
166769,B,19/08/2019
166971,B,27/08/2019
166844,B,21/08/2019
167436,B,17/09/2019
167475,B,18/09/2019
167071,B,30/08/2019
167179,B,05/09/2019
166734,B,16/08/2019
166663,B,13/08/2019
166560,B,08/08/2019
166658,B,13/08/2019
166534,B,07/08/2019
166594,B,09/08/2019
166485,B,06/08/2019
166627,B,12/08/2019
166548,B,08/08/2019
166536,B,07/08/2019
166389,B,01/08/2019
166440,B,02/08/2019
166380,B,01/08/2019
166421,B,02/08/2019
166377,B,01/08/2019
166783,B,19/08/2019
167502,B,18/09/2019
168307,B,21/10/2019
168449,B,25/10/2019
167124,B,02/09/2019
167468,B,18/09/2019
167256,B,09/09/2019
168053,B,10/10/2019
168578,B,31/10/2019
167219,B,06/09/2019
167410,B,16/09/2019
166837,B,21/08/2019
167942,B,07/10/2019
167858,B,03/10/2019
167768,B,30/09/2019
167750,B,27/09/2019
167463,B,17/09/2019
167164,B,04/09/2019
167543,B,19/09/2019
166839,B,21/08/2019
166550,B,08/08/2019
167638,B,24/09/2019
167142,B,03/09/2019
167058,B,29/08/2019
166426,B,02/08/2019
166533,B,07/08/2019
166884,B,22/08/2019
166464,B,05/08/2019
166530,B,07/08/2019
168245,B,17/10/2019
168071,B,11/10/2019
168509,B,29/10/2019
167384,B,13/09/2019
166569,B,09/08/2019
167939,B,07/10/2019
168097,B,14/10/2019
167296,B,11/09/2019
