user_id,tariff_plan,date_start
167813,B,01/10/2019
168340,B,22/10/2019
167981,B,08/10/2019
167551,B,20/09/2019
168025,B,09/10/2019
166958,B,26/08/2019
168356,B,23/10/2019
167130,B,03/09/2019
167530,B,19/09/2019
167288,B,10/09/2019
167009,B,28/08/2019
167141,B,03/09/2019
167697,B,25/09/2019
167415,B,16/09/2019
166941,B,26/08/2019
166705,B,15/08/2019
166587,B,09/08/2019
167452,B,17/09/2019
166797,B,20/08/2019
167268,B,10/09/2019
166522,B,07/08/2019
166815,B,20/08/2019
166702,B,15/08/2019
166554,B,08/08/2019
166911,B,23/08/2019
167012,B,28/08/2019
166867,B,22/08/2019
166565,B,08/08/2019
